Asset_ID,Department,Region,Environment,CPU_Usage_Avg,RAM_Usage_GB,Storage_Usage_TB,Instance_Unit_Cost,Support_Tickets_Monthly,Uptime_Percentage,License_Fee_Monthly,Server_Age_Months,Monthly_Transfer_Cost,Metric_Col_0,Metric_Col_1,Metric_Col_2,Metric_Col_3,Metric_Col_4,Metric_Col_5,Metric_Col_6,Metric_Col_7,Metric_Col_8,Metric_Col_9,Metric_Col_10,Metric_Col_11,Metric_Col_12,Metric_Col_13,Metric_Col_14,Metric_Col_15,Metric_Col_16
IT-1000,  Data Science , AP-SOUTH,Production,6.227062151523932,58.31470274744084,6.379860636848056,43.05819888849346,1.0,98.55839338231316,255.4044284985599,7,$41.52,90.81983394580183,72.10458363010784,50.87485329487358,68.9689947152494,56.33813206269976,90.51714185221239,0.1428804166974218,99.93994089926262,63.749133457484305,20.458347050203006,76.51448408800825,7.832907547015056,7.832183522605529,12.40779155271693,26.114486847736284,7.253831994026283,83.94299872814838
IT-1001,  HR ,EU-WEST ,Production,34.04539154539746,54.68422658825745,8.20132059537729,,7.0,98.3322504759089,86.48507098801022,14,$92.23,81.4567065334265,42.15840057906362,95.99658137120642,87.4932626574118,65.43653655765883,63.91574958113206,7.290738972253886,46.20750770358093,66.82029805757095,61.14048672570058,36.152407678293926,48.38066652719982,13.066951980957665,0.6207963729881305,98.22973012492159,81.93496305255951,60.10271721512663
IT-1002,  Sales ,us-east,Production,54.89210130947321,57.185950977220074,6.444455950514439,59.250724935241124,5.0,98.9088049178774,365.1642887339326,20,$56.81,56.36949189837664,74.24468588177112,19.93425505302061,88.85739847602918,13.235309185726274,91.97223894219765,35.9886326351165,69.65046200469594,71.44152469996997,83.10610029954698,8.93965703860583,3.3032809492381743,30.04777255204597,31.096480987347164,86.15513109431835,5.827677892914829,15.523198628663405
IT-1003,  HR ,EU-WEST ,Production,18.339571588939215,76.60960039368342,3.172941143428864,38.61791235013773,1.0,98.43489202482822,83.82556160391545,20,$35.41,52.71010191467135,40.905538131262546,34.553675769567995,93.09694914883471,13.172070886544397,91.12260340036342,18.839594599707777,66.9803819922849,50.576663772087386,46.73395543462625,85.884464740688,84.55922128750106,47.795432477200926,24.889433405009143,88.46975700428652,45.385527453980714,81.83595013523133
IT-1004,  HR ,US-EAST,Sandbox,13.28888787796308,68.62554188927865,6.595500389733854,15.370703063291394,5.0,99.79698861016308,94.6458318653159,10,$35.75,32.87079319745207,10.851718721390814,78.13452400961374,81.07110989073823,3.5423389843151076,6.341068248568993,26.505808563752353,51.80667150335773,57.48554892513662,14.6737389421015,39.71982368612898,2.6366040016279957,31.10673974348199,30.73308297682047,13.039835881478368,71.04730236683353,79.16435286353826
IT-1005,  Marketing ,us-east,Staging,78.3748697981504,22.57236432843193,2.1835713020638012,,3.0,98.60722593165407,138.19881594869997,11,$17.55,25.087797910394837,17.30536877858835,78.36107355933677,14.679793594166679,76.08924496241443,95.50093249283648,69.9660377304932,58.53502890042369,0.8406133808297467,30.61512198219627,13.260395076306875,6.163969418178416,21.383812906371446,97.35693471265043,87.00624178454376,34.48110346649074,83.53575859668383
IT-1006,  Sales ,eu-west ,Staging,85.49639497836566,12.131805008182903,3.2507244730662666,40.26731430780386,7.0,99.19480419107865,176.16910900467104,39,$49.96,51.23595169750865,81.15700780746833,73.21832739567051,74.7639533386243,33.10085368388047,5.117795906125567,95.91497743591576,79.86087617780333,16.660070534223625,98.1353250049017,64.64768126899502,64.04066332174871,92.50297083832898,56.77457427960938,94.18229906707293,91.01185300440596,15.76637804983344
IT-1007,  Sales , ap-south,Production,79.12457787183705,94.44751564209102,2.4766895657610686,62.45720580611967,2.0,98.52688368109041,430.9032651444718,19,$80.18,57.77817617119738,25.86164895589326,85.96114646653041,81.45923735632176,22.54204557448022,92.56189177484868,20.67758430200325,57.161326779439804,49.85640420949176,11.10918867238575,88.9773247831306,91.6933523025437,3.260053432439336,58.91119046633415,81.90479790999954,75.52318563556685,68.43577461691443
IT-1008,  Sales ,US-EAST,Production,85.8909100763613,73.40496205511087,5.613558513663045,35.603123211995324,2.0,98.51603852544953,353.71479969702375,19,$97.01,24.452643145884558,26.43544225670693,70.25461729438122,87.78714276763837,77.8094395045229,54.673343665671595,46.56439341364895,45.014830528434636,74.5593058070356,16.071502018564754,86.09655210028278,89.21211346441967,93.86981706632804,65.566928779626,9.136402324708747,42.60480648574394,96.02439334483365
IT-1009,  HR ,us-east,Staging,54.780077395253436,48.5160952418287,1.1714438029789314,45.3867923461937,2.0,98.70127216295681,224.2457547875421,53,$52.65,92.26012436534788,92.93680900023314,63.608514447223385,92.4816894617826,14.325569008953954,53.31895828773915,99.14794014994102,66.2082474623576,80.89249000233988,99.01778479098711,55.444682072567154,8.363051101386231,90.72423144665541,39.77254654992276,8.477663240547429,18.382639377285493,25.60615861493638
